"Time","Symbol","Side","Type","Size","Price","Trade Value","Fee","Realized PnL"
"2025-11-14 01:52:42","FARTCOIN","Open Short","Fulfill Taker","909.1 FARTCOIN","0.2493","$226.64","$0.09","-$0.09"
"2025-11-14 01:52:40","SUI","Open Short","Fulfill Taker","118 SUI","1.792","$211.46","$0.08","-$0.08"
"2025-11-14 01:52:37","ASTER","Open Short","Fulfill Taker","206.6 ASTER","1.01716","$210.15","$0.08","-$0.08"
"2025-11-14 01:39:35","FARTCOIN","Close Short","Fulfill Maker","114 FARTCOIN","0.2478","$28.25","$0","+$1.17"
"2025-11-14 01:39:20","FARTCOIN","Close Short","Fulfill Maker","672 FARTCOIN","0.2478","$166.52","$0.02","+$6.9"
"2025-11-14 01:31:06","ENA","Close Long","Fulfill Taker","698 ENA","0.29065","$202.87","$0.08","-$5.19"
"2025-11-14 01:30:42","ENA","Close Long","Fulfill Maker","1 ENA","0.2907","$0.29","$0","-$0.01"
"2025-11-14 01:20:54","UNI","Open Short","Fulfill Taker","27 UNI","7.491","$202.26","$0.08","-$0.08"
"2025-11-14 01:20:52","FARTCOIN","Open Short","Fulfill Taker","786 FARTCOIN","0.2581","$202.87","$0.08","-$0.08"
"2025-11-14 01:20:49","AAVE","Open Short","Fulfill Taker","1.12 AAVE","190.61","$213.48","$0.09","-$0.09"
"2025-11-14 00:50:19","CRV","Open Short","Fulfill Taker","460.8 CRV","0.4414","$203.4","$0.08","-$0.08"
"2025-11-14 00:50:17","ZEC","Open Short","Fulfill Taker","0.4 ZEC","509.65","$203.86","$0.08","-$0.08"
"2025-11-13 23:42:33","ENA","Open Long","Fulfill Taker","699 ENA","0.29797","$208.28","$0.08","-$0.08"
"2025-11-13 19:48:05","PUMP","Close Short","Fulfill Taker","55577 PUMP","0.003641","$202.36","$0.08","+$4.59"
"2025-11-13 19:32:59","VIRTUAL","Close Short","Fulfill Taker","162.9 VIRTUAL","1.2296","$200.3","$0.08","+$2.8"
"2025-11-13 18:32:38","ASTER","Close Short","Fulfill Taker","203.9 ASTER","1.06981","$218.13","$0.09","-$2.93"
"2025-11-13 16:15:53","LDO","Close Short","Fulfill Taker","256.8 LDO","0.7554","$193.99","$0.08","+$10.48"
"2025-11-13 15:33:32","LINK","Close Short","Fulfill Taker","13.4 LINK","14.491","$194.18","$0.08","+$9.36"
"2025-11-13 13:45:38","LDO","Open Short","Fulfill Taker","256.8 LDO","0.7965","$204.54","$0.08","-$0.08"
"2025-11-13 13:30:28","LINK","Open Short","Fulfill Taker","13.4 LINK","15.195","$203.61","$0.08","-$0.08"
"2025-11-13 13:30:25","VIRTUAL","Open Short","Fulfill Taker","162.9 VIRTUAL","1.2473","$203.19","$0.08","-$0.08"
"2025-11-13 13:30:23","PUMP","Open Short","Fulfill Taker","55577 PUMP","0.003725","$207.02","$0.08","-$0.08"
"2025-11-13 13:18:15","ASTER","Open Short","Fulfill Taker","203.9 ASTER","1.05586","$215.29","$0.09","-$0.09"
"2025-11-13 13:17:29","ASTER","Close Short","Fulfill Taker","0.1 ASTER","1.05914","$0.11","$0","+$0.01"
"2025-11-13 11:45:40","MON","Close Short","Fulfill Taker","2778 MON","0.04649","$129.15","$0.05","+$4.28"
"2025-11-13 11:37:26","CRV","Close Long","Fulfill Taker","0.1 CRV","0.4628","$0.05","$0","-$0"
"2025-11-13 10:36:05","AVAX","Close Long","Fulfill Taker","0.1 AVAX","17.179","$1.72","$0","-$0.04"
"2025-11-13 10:35:14","VIRTUAL","Close Long","Fulfill Maker","0.1 VIRTUAL","1.2761","$0.13","$0","-$0"
"2025-11-13 10:27:10","AAVE","Close Long","Fulfill Taker","0.85 AAVE","212.2","$180.37","$0.07","-$2.61"
"2025-11-13 10:27:10","AAVE","Close Long","Fulfill Taker","0.1 AAVE","212.21","$21.22","$0.01","-$0.31"
"2025-11-13 09:58:44","SUI","Close Short","Fulfill Taker","0.1 SUI","2.0413","$0.2","$0","-$0"
"2025-11-13 08:58:45","ZEC","Close Short","Fulfill Maker","0.42 ZEC","508.89","$213.73","$0.03","-$8.31"
"2025-11-13 08:58:30","XPL","Close Long","Fulfill Taker","761 XPL","0.2618","$199.23","$0.08","-$3.81"
"2025-11-13 07:58:03","VIRTUAL","Close Long","Fulfill Taker","155.1 VIRTUAL","1.2959","$200.99","$0.08","-$3"
"2025-11-13 07:42:56","LDO","Close Long","Fulfill Taker","248.6 LDO","0.8284","$205.94","$0.08","-$0.08"
"2025-11-13 07:42:56","ENA","Close Long","Fulfill Taker","644 ENA","0.31645","$203.79","$0.08","-$1.06"
"2025-11-13 06:12:14","ZEC","Open Short","Fulfill Taker","0.42 ZEC","489.18","$205.46","$0.08","-$0.08"
"2025-11-13 06:09:09","CRV","Close Long","Fulfill Taker","430.3 CRV","0.4646","$199.92","$0.08","-$4.08"
"2025-11-13 06:09:08","LINK","Close Long","Fulfill Taker","13 LINK","15.706","$204.18","$0.08","-$3.53"
"2025-11-13 06:09:08","AVAX","Close Long","Fulfill Taker","11.5 AVAX","17.29","$198.84","$0.08","-$3.41"
"2025-11-13 05:57:59","XPL","Open Long","Fulfill Taker","761 XPL","0.2667","$202.96","$0.08","-$0.08"
"2025-11-13 05:53:54","MON","Open Short","Fulfill Taker","2778 MON","0.04805","$133.48","$0.05","-$0.05"
"2025-11-13 05:53:08","MON","Close Short","Fulfill Taker","2467 MON","0.04824","$119.01","$0.05","+$4.02"
"2025-11-13 05:12:32","UNI","Close Long","Fulfill Taker","27 UNI","7.987","$215.65","$0.09","+$2.26"
"2025-11-13 04:27:00","MON","Open Short","Fulfill Taker","2467 MON","0.04989","$123.08","$0.05","-$0.05"
"2025-11-13 04:11:46","AAVE","Open Long","Fulfill Taker","0.95 AAVE","215.19","$204.43","$0.08","-$0.08"
"2025-11-13 03:12:04","CRV","Open Long","Fulfill Taker","409 CRV","0.4739","$193.83","$0.08","-$0.08"
"2025-11-13 03:12:04","CRV","Open Long","Fulfill Taker","21.4 CRV","0.4739","$10.14","$0","-$0"
"2025-11-13 03:12:01","LINK","Open Long","Fulfill Taker","13 LINK","15.971","$207.62","$0.08","-$0.08"
"2025-11-13 02:50:52","SOL","Close Short","Fulfill Taker","1.35 SOL","156.16","$210.82","$0.08","-$4.03"
"2025-11-13 02:49:26","HYPE","Close Short","Fulfill Taker","0.1 HYPE","39.255","$3.93","$0","-$0.1"
"2025-11-13 02:29:35","LINK","Close Short","Fulfill Taker","0.1 LINK","15.752","$1.58","$0","-$0.04"
"2025-11-13 01:41:18","ZEC","Close Short","Fulfill Taker","0.44 ZEC","514.79","$226.51","$0.09","-$5.55"
"2025-11-13 01:26:08","LDO","Open Long","Fulfill Taker","248.6 LDO","0.8284","$205.94","$0.08","-$0.08"
"2025-11-13 01:26:05","AVAX","Open Long","Fulfill Taker","11.6 AVAX","17.58","$203.93","$0.08","-$0.08"
"2025-11-13 00:55:49","SUI","Close Short","Fulfill Taker","101.5 SUI","2.0137","$204.39","$0.08","-$1.8"
